iter	Passed	Remaining
407	5361	7778
408	5373	7764
409	5386	7751
410	5398	7736
411	5410	7722
412	5423	7709
413	5436	7695
414	5450	7682
415	5463	7669
416	5474	7654
417	5487	7639
418	5498	7624
419	5511	7610
420	5523	7596
421	5536	7583
422	5548	7568
423	5561	7554
424	5574	7542
425	5587	7528
426	5600	7515
427	5613	7501
428	5625	7487
429	5639	7476
430	5651	7461
431	5664	7448
432	5678	7436
433	5692	7423
434	5705	7410
435	5717	7396
436	5730	7383
437	5744	7371
438	5757	7357
439	5769	7343
440	5781	7328
441	5794	7315
442	5808	7303
443	5821	7289
444	5834	7276
445	5847	7263
446	5860	7250
447	5875	7239
448	5888	7226
449	5901	7213
450	5912	7196
451	5923	7181
452	5933	7164
453	5945	7150
454	5958	7137
455	5971	7123
456	5983	7109
457	5995	7095
458	6007	7080
459	6020	7067
460	6033	7053
461	6045	7040
462	6058	7026
463	6070	7011
464	6083	6999
465	6096	6986
466	6109	6972
467	6122	6960
468	6135	6946
469	6148	6933
470	6161	6920
471	6174	6907
472	6188	6894
473	6201	6882
474	6214	6868
475	6226	6854
476	6239	6841
477	6252	6828
478	6265	6815
479	6278	6801
480	6290	6787
481	6302	6773
482	6314	6759
483	6328	6746
484	6341	6733
485	6355	6721
486	6369	6709
487	6383	6697
488	6396	6684
489	6409	6671
490	6423	6658
491	6435	6645
492	6448	6631
493	6462	6618
494	6474	6604
495	6485	6590
496	6497	6576
497	6511	6563
498	6524	6551
499	6538	6538
500	6551	6525
501	6564	6512
502	6576	6497
503	6588	6483
504	6600	6469
505	6612	6455
506	6627	6444
507	6638	6429
508	6650	6415
509	6663	6402
510	6678	6390
511	6692	6378
512	6705	6365
513	6719	6353
514	6732	6340
515	6746	6328
516	6759	6315
517	6772	6302
518	6783	6286
519	6791	6268
520	6800	6252
521	6812	6237
522	6824	6224
523	6837	6211
524	6848	6196
525	6860	6182
526	6872	6168
527	6885	6155
528	6897	6141
529	6909	6127
530	6921	6113
531	6933	6099
532	6945	6085
533	6957	6071
534	6969	6057
535	6982	6044
536	6995	6031
537	7009	6019
538	7022	6006
539	7034	5992
540	7047	5979
541	7059	5965
542	7071	5951
543	7083	5937
544	7095	5924
545	7109	5911
546	7122	5898
547	7134	5884
548	7147	5871
549	7159	5857
550	7173	5845
551	7187	5833
552	7200	5820
553	7213	5806
554	7225	5793
555	7237	5779
556	7251	5767
557	7263	5753
558	7275	5739
559	7286	5725
560	7300	5712
561	7313	5700
562	7325	5686
563	7339	5673
564	7353	5661
565	7366	5648
566	7379	5635
567	7393	5622
568	7404	5608
569	7416	5594
570	7427	5580
571	7440	5567
572	7452	5553
573	7464	5540
574	7476	5526
575	7489	5513
576	7502	5500
577	7516	5487
578	7529	5474
579	7541	5461
580	7554	5448
581	7568	5435
582	7581	5423
583	7595	5410
584	7608	5397
585	7622	5384
586	7635	5372
587	7648	5358
588	7660	5345
589	7673	5332
590	7686	5319
591	7698	5305
592	7709	5291
593	7722	5278
594	7732	5263
595	7741	5247
596	7753	5233
597	7765	5220
598	7778	5207
599	7793	5195
600	7806	5182
601	7819	5169
602	7832	5156
603	7845	5143
604	7859	5131
605	7872	5118
606	7884	5104
607	7898	5092
608	7913	5080
609	7926	5067
610	7940	5055
611	7953	5042
612	7967	5030
613	7980	5017
614	7993	5004
615	8007	4991
616	8021	4979
617	8037	4967
618	8051	4955
619	8064	4942
620	8078	4930
621	8092	4917
622	8108	4906
623	8121	4893
624	8135	4881
625	8148	4868
626	8161	4855
627	8174	4841
628	8187	4829
629	8199	4815
630	8212	4802
631	8227	4790
632	8239	4777
633	8252	4764
634	8265	4750
635	8278	4738
636	8291	4724
637	8304	4712
638	8317	4699
639	8327	4684
640	8338	4670
641	8351	4656
642	8364	4644
643	8378	4631
644	8390	4618
645	8403	4605
646	8416	4592
647	8430	4579
648	8443	4566
649	8455	4553
650	8468	4540
651	8481	4526
652	8493	4513
653	8506	4500
654	8519	4487
655	8531	4473
656	8544	4460
657	8558	4448
658	8571	4435
659	8584	4422
660	8597	4409
661	8610	4396
662	8621	4382
663	8634	4369
664	8646	4355
665	8657	4341
666	8669	4328
667	8680	4314
668	8691	4300
669	8702	4286
670	8715	4273
671	8727	4259
672	8738	4245
673	8756	4235
674	8770	4222
675	8782	4209
676	8794	4195
677	8802	4180
678	8815	4167
679	8827	4153
680	8839	4140
681	8853	4127
682	8863	4113
683	8875	4100
684	8889	4087
685	8901	4074
686	8914	4061
687	8927	4048
688	8939	4035
689	8952	4021
690	8964	4008
691	8975	3995
692	8988	3981
693	9001	3968
694	9014	3955
695	9027	3942
696	9038	3929
697	9049	3915
698	9061	3902
699	9072	3888
700	9084	3875
701	9096	3861
702	9108	3848
703	9121	3835
704	9129	3820
705	9141	3806
706	9151	3792
707	9162	3779
708	9174	3765
709	9185	3751
710	9194	3737
711	9206	3724
712	9219	3711
713	9229	3696
714	9241	3683
715	9254	3670
716	9267	3658
717	9280	3644
718	9292	3631
719	9304	3618
720	9316	3605
721	9327	3591
722	9338	3577
723	9349	3564
724	9362	3551
725	9377	3539
726	9390	3526
727	9402	3513
728	9415	3500
729	9428	3487
730	9442	3474
731	9454	3461
732	9466	3448
733	9474	3433
734	9486	3420
735	9498	3406
736	9509	3393
737	9519	3379
738	9530	3366
739	9542	3352
740	9554	3339
741	9566	3326
742	9579	3313
743	9590	3299
744	9598	3285
745	9609	3271
746	9622	3259
747	9633	3245
748	9641	3230
749	9653	3217
750	9666	3204
751	9678	3191
752	9689	3178
753	9700	3164
754	9712	3151
755	9724	3138
756	9736	3125
757	9750	3112
758	9761	3099
759	9774	3086
760	9786	3073
761	9799	3060
762	9812	3047
763	9823	3034
764	9835	3021
765	9846	3007
766	9858	2994
767	9870	2981
768	9881	2968
769	9893	2955
770	9904	2941
771	9916	2928
772	9924	2914
773	9935	2901
774	9948	2888
775	9961	2875
776	9974	2862
777	9989	2850
778	10002	2837
779	10013	2824
780	10025	2811
781	10039	2798
782	10052	2786
783	10065	2773
784	10073	2758
785	10084	2745
786	10096	2732
787	10108	2719
788	10121	2706
789	10134	2694
790	10147	2681
791	10160	2668
792	10172	2655
793	10187	2643
794	10200	2630
795	10213	2617
796	10227	2604
797	10241	2592
798	10253	2579
799	10266	2566
800	10278	2553
801	10291	2540
802	10303	2527
803	10315	2514
804	10327	2501
805	10341	2489
806	10352	2475
807	10367	2463
808	10376	2449
809	10387	2436
810	10400	2423
811	10410	2410
812	10421	2397
813	10433	2384
814	10447	2371
815	10460	2358
816	10473	2345
817	10487	2333
818	10500	2320
819	10512	2307
820	10525	2294
821	10537	2281
822	10550	2269
823	10563	2256
824	10575	2243
825	10587	2230
826	10599	2217
827	10612	2204
828	10622	2191
829	10635	2178
830	10647	2165
831	10659	2152
832	10673	2139
833	10685	2126
834	10697	2113
835	10711	2101
836	10724	2088
837	10737	2075
838	10750	2063
839	10764	2050
840	10777	2037
841	10791	2025
842	10803	2012
843	10817	1999
844	10830	1986
845	10842	1973
846	10854	1960
847	10866	1947
848	10879	1934
849	10892	1922
850	10905	1909
851	10917	1896
852	10931	1883
853	10944	1871
854	10957	1858
855	10971	1845
856	10984	1832
857	10997	1820
858	11010	1807
859	11023	1794
860	11037	1781
861	11050	1769
862	11061	1755
863	11073	1742
864	11085	1730
865	11097	1717
866	11108	1704
867	11120	1691
868	11128	1677
869	11140	1664
870	11152	1651
871	11160	1638
872	11172	1625
873	11185	1612
874	11197	1599
875	11210	1586
876	11218	1573
877	11227	1560
878	11242	1547
879	11255	1534
880	11267	1521
881	11276	1508
882	11288	1495
883	11303	1483
884	11315	1470
885	11329	1457
886	11341	1444
887	11353	1432
888	11365	1419
889	11375	1405
890	11385	1392
891	11397	1379
892	11409	1367
893	11421	1354
894	11435	1341
895	11447	1328
896	11459	1315
897	11471	1303
898	11483	1290
899	11496	1277
900	11504	1264
901	11516	1251
902	11528	1238
903	11539	1225
904	11551	1212
905	11563	1199
906	11574	1186
907	11587	1174
908	11598	1161
909	11610	1148
910	11623	1135
911	11636	1122
912	11650	1110
913	11663	1097
914	11676	1084
915	11688	1071
916	11699	1058
917	11711	1046
918	11722	1033
919	11735	1020
920	11748	1007
921	11760	994
922	11772	982
923	11784	969
924	11796	956
925	11808	943
926	11820	930
927	11833	918
928	11845	905
929	11858	892
930	11870	879
931	11882	866
932	11894	854
933	11908	841
934	11920	828
935	11933	815
936	11947	803
937	11961	790
938	11975	777
939	11988	765
940	12001	752
941	12014	739
942	12028	727
943	12041	714
944	12053	701
945	12065	688
946	12077	675
947	12090	663
948	12104	650
949	12116	637
950	12128	624
951	12140	612
952	12152	599
953	12164	586
954	12176	573
955	12188	560
956	12199	548
957	12212	535
958	12224	522
959	12236	509
960	12249	497
961	12261	484
962	12275	471
963	12290	458
964	12303	446
965	12316	433
966	12329	420
967	12340	407
968	12352	395
969	12364	382
970	12376	369
971	12391	356
972	12404	344
973	12416	331
974	12429	318
975	12441	305
976	12452	293
977	12463	280
978	12476	267
979	12486	254
980	12497	242
981	12507	229
982	12517	216
983	12525	203
984	12537	190
985	12550	178
986	12563	165
987	12577	152
988	12589	140
989	12602	127
990	12614	114
991	12625	101
992	12634	89
993	12647	76
994	12660	63
995	12673	50
996	12685	38
997	12697	25
998	12705	12
999	12717	0
