iter	Logloss
259	0.4818480536
260	0.4818255846
261	0.4817990977
262	0.4817697158
263	0.4817497008
264	0.4817294628
265	0.4816987215
266	0.4816812174
267	0.481650906
268	0.4816243057
269	0.4816053453
270	0.4815717964
271	0.4815566529
272	0.4815336956
273	0.4814987742
274	0.4814682116
275	0.4814356344
276	0.481413423
277	0.4813904003
278	0.4813657926
279	0.4813433208
280	0.4813184203
281	0.4813039449
282	0.4812855686
283	0.481265683
284	0.4812308176
285	0.4812293035
286	0.4811893449
287	0.4811722063
288	0.4811558306
289	0.4811339336
290	0.4811000944
291	0.4810686286
292	0.4810504264
293	0.4810313653
294	0.4810016944
295	0.4809693141
296	0.4809482406
297	0.4809235992
298	0.4808976315
299	0.4808819976
300	0.4808681382
301	0.4808401351
302	0.4808125043
303	0.4807882736
304	0.4807715415
305	0.4807566206
306	0.4807331353
307	0.4807220091
308	0.4807005326
309	0.48067838
310	0.4806566695
311	0.480637945
312	0.4806371409
313	0.4806350075
314	0.4806080776
315	0.4805910775
316	0.4805784766
317	0.4805477399
318	0.4805336641
319	0.4805153694
320	0.4804904459
321	0.480454963
322	0.4804277393
323	0.4804162928
324	0.4803909257
325	0.4803640015
326	0.4803346094
327	0.4803092097
328	0.4802872957
329	0.480265084
330	0.4802544705
331	0.4802359916
332	0.4802129357
333	0.4802119912
334	0.4802016347
335	0.4801931834
336	0.4801763716
337	0.4801590868
338	0.4801360539
339	0.4801182726
340	0.4800895532
341	0.480063246
342	0.4800398792
343	0.48001815
344	0.4799933748
345	0.4799717428
346	0.4799426856
347	0.4799251964
348	0.4799088018
349	0.4798898796
350	0.4798788377
351	0.4798556147
352	0.4798334596
353	0.4798119411
354	0.4797499818
355	0.4797448919
356	0.4797189051
357	0.479687355
358	0.4796673499
359	0.4796558217
360	0.47963721
361	0.4796145284
362	0.4795996881
363	0.4795749084
364	0.4795572479
365	0.479533922
366	0.4795104387
367	0.4794892177
368	0.4794732247
369	0.4794567974
370	0.4794326771
371	0.4794153577
372	0.4793999921
373	0.4793830112
374	0.479364964
375	0.4793401563
376	0.479325395
377	0.4793146606
378	0.4793051087
379	0.4793027843
380	0.4792830348
381	0.4792674407
382	0.4792428984
383	0.4792217591
384	0.479204458
385	0.4791798434
386	0.4791591873
387	0.4791390872
388	0.4791230347
389	0.4790977694
390	0.4790977333
391	0.4790967968
392	0.4790797557
393	0.4790564039
394	0.4790367316
395	0.4790211109
396	0.4790017586
397	0.4789774512
398	0.4789635559
399	0.478931202
400	0.4789200373
401	0.4788957158
402	0.4788794172
403	0.4788571567
404	0.4788373498
405	0.4788178695
406	0.4788067431
407	0.4787872784
408	0.4787712812
409	0.4787447417
410	0.4787285812
411	0.4787142844
412	0.4786959416
413	0.4786773958
414	0.478661784
415	0.4786430047
416	0.4786232331
417	0.4786018444
418	0.4785813403
419	0.4785634641
420	0.4785411035
421	0.4785153607
422	0.4785013454
423	0.4784831887
424	0.478462536
425	0.4784428617
426	0.478416399
427	0.4783873458
428	0.4783683341
429	0.4783479961
430	0.4783296579
431	0.4783127386
432	0.4782925025
433	0.4782813724
434	0.4782627423
435	0.4782521829
436	0.4782358744
437	0.4782062329
438	0.4781957781
439	0.4781758012
440	0.4781615383
441	0.4781304248
442	0.4781078498
443	0.4780955261
444	0.4780748608
445	0.4780575822
446	0.4780408706
447	0.4780176353
448	0.4779891407
449	0.4779667382
450	0.4779665033
451	0.4779631407
452	0.4779626032
453	0.4779310766
454	0.4779110058
455	0.47788629
456	0.4778681
457	0.4778373632
458	0.4778259318
459	0.4777962979
460	0.4777749637
461	0.4777523418
462	0.4777391631
463	0.4777329942
464	0.4777079127
465	0.4776839585
466	0.4776614534
467	0.4776299548
468	0.4776066566
469	0.4775857352
470	0.477567193
471	0.4775542595
472	0.4775369623
473	0.4775027539
474	0.4774843994
475	0.4774665369
476	0.4774372165
477	0.4774117568
478	0.477375079
479	0.4773594876
480	0.477346628
481	0.4773254569
482	0.4773170874
483	0.477299214
484	0.4772818406
485	0.4772549838
486	0.4772377762
487	0.4772096803
488	0.4771922714
489	0.4771710525
490	0.4771582312
491	0.4771342232
492	0.4771165522
493	0.4770858402
494	0.4770727368
495	0.47706473
496	0.4770488269
497	0.4770256357
498	0.4770061777
499	0.476976859
500	0.4769666436
501	0.4769518246
502	0.4769477259
503	0.4769298126
504	0.4769190208
505	0.4769053934
506	0.4768764022
507	0.4768761755
508	0.4768655204
509	0.4768474604
510	0.4768314052
511	0.4768162867
512	0.4768043252
513	0.476785386
514	0.4767686681
515	0.4767450215
516	0.4767164435
517	0.4766976795
518	0.4766974328
519	0.4766973584
520	0.4766966425
521	0.4766872163
522	0.4766636066
523	0.4766418897
524	0.4766262866
525	0.4766148661
526	0.476599264
527	0.4765752362
528	0.4765567878
529	0.4765443661
530	0.4765324373
531	0.4765182872
532	0.476497569
533	0.4764776271
534	0.4764587345
535	0.4764348252
536	0.4764155883
537	0.4763961448
538	0.4763833195
539	0.4763692323
540	0.4763507476
541	0.4763380753
542	0.4763125428
543	0.4763004041
544	0.4762874833
545	0.4762633524
546	0.4762461282
547	0.4762338309
548	0.4762018216
549	0.4761825962
550	0.4761615657
551	0.4761398782
552	0.4761199079
553	0.4761085103
554	0.4760895368
555	0.4760703626
556	0.4760513475
557	0.4760413342
558	0.4760259089
559	0.4760114516
560	0.4759870163
561	0.4759780018
562	0.4759754549
563	0.4759500894
564	0.4759363196
565	0.4759177885
566	0.4758965395
567	0.4758791526
568	0.475878956
569	0.4758630486
570	0.4758570341
571	0.4758399191
572	0.4758215906
573	0.475807257
574	0.4757944767
575	0.4757785506
576	0.4757605729
577	0.4757377351
578	0.4757224578
579	0.4757018745
580	0.4756814247
581	0.4756619103
582	0.475644857
583	0.4756262831
584	0.4756027612
585	0.4755829584
586	0.4755519171
587	0.4755426436
588	0.4755330691
589	0.4755045373
590	0.4754917814
591	0.4754684871
592	0.4754393521
593	0.4754062162
594	0.4754059092
595	0.4754052674
596	0.4753888971
597	0.475371244
598	0.4753577992
599	0.4753335081
600	0.475315007
601	0.4753048033
602	0.4752901263
603	0.4752782678
604	0.4752638951
605	0.4752558418
606	0.4752399892
607	0.4752174928
608	0.4751851829
609	0.4751751436
610	0.4751585182
611	0.4751345738
612	0.4751030301
613	0.4750872172
614	0.4750760943
615	0.4750529832
616	0.4750298545
617	0.4750137459
618	0.4750006137
619	0.4749866217
620	0.4749692168
621	0.4749562796
622	0.474928052
623	0.4749114194
624	0.474890757
625	0.4748752545
626	0.4748599753
627	0.47485342
628	0.4748405832
629	0.4748289719
630	0.4748100526
631	0.4747772379
632	0.4747525362
633	0.4747363583
634	0.4747075217
635	0.4746867974
636	0.4746689267
637	0.4746454029
638	0.4746250742
639	0.474625026
640	0.4746181507
641	0.4745953585
642	0.4745805914
643	0.47456591
644	0.4745536836
645	0.4745442753
646	0.4745267658
647	0.4745107345
648	0.4744899772
649	0.4744620298
650	0.4744450047
651	0.4744296657
652	0.474410631
653	0.4743957419
654	0.4743837767
655	0.474365456
656	0.4743527211
657	0.474334046
658	0.4743183147
659	0.4742953132
660	0.4742824624
661	0.4742587955
662	0.4742401915
663	0.4742265936
664	0.4742103065
665	0.4742036309
666	0.4741823467
667	0.474169347
668	0.4741509096
669	0.4741421211
670	0.4741195517
671	0.4741076469
672	0.4740897577
673	0.474060208
674	0.4740350296
675	0.4740180395
676	0.4740043643
677	0.4740042979
678	0.4739936942
679	0.4739771164
680	0.4739589619
681	0.4739478857
682	0.4739476249
683	0.4739249144
684	0.4739123197
685	0.4738931661
686	0.4738677587
687	0.4738518013
688	0.4738403027
689	0.4738341957
690	0.473822781
691	0.4738223877
692	0.4738079311
693	0.473798055
694	0.4737902276
695	0.4737793769
696	0.4737790439
697	0.4737739833
698	0.4737624681
699	0.4737581454
700	0.4737429425
701	0.4737290126
702	0.4737107927
703	0.473695004
704	0.4736949819
705	0.4736880875
706	0.4736878969
707	0.4736768246
708	0.4736731021
709	0.4736686962
710	0.4736686541
711	0.4736551782
712	0.4736436927
713	0.4736436486
714	0.4736366929
715	0.4736264976
716	0.4735997399
717	0.4735880774
718	0.4735632004
719	0.4735472077
720	0.4735300602
721	0.4735298541
722	0.4735230056
723	0.4735086697
724	0.4734947099
725	0.4734746373
726	0.4734579506
727	0.4734547026
728	0.4734461007
729	0.4734312663
730	0.4734038917
731	0.4733886015
732	0.4733668397
733	0.4733667795
734	0.4733597478
735	0.4733504637
736	0.4733407372
737	0.4733393842
738	0.4733338926
739	0.4733217032
740	0.4733096392
741	0.473294804
742	0.4732851102
743	0.473276709
744	0.473276721
745	0.4732629546
746	0.4732491403
747	0.4732476353
748	0.473247523
749	0.4732302805
750	0.4732152753
751	0.473208422
752	0.4732021554
753	0.4731863145
754	0.473173755
755	0.4731582951
756	0.4731373421
757	0.4731180744
758	0.4731177936
759	0.4731037511
760	0.4730837357
761	0.4730624933
762	0.4730315508
763	0.4730215721
764	0.4730063274
765	0.47299425
766	0.4729796244
767	0.4729548568
768	0.4729470092
769	0.4729366453
770	0.4729310747
771	0.4729178025
772	0.4729177543
773	0.4729169302
774	0.4729021167
775	0.4728894625
776	0.4728694411
777	0.4728491151
778	0.4728311481
779	0.4728309255
780	0.4728103949
781	0.4727933353
782	0.4727845577
783	0.4727766874
784	0.4727766433
785	0.4727750454
786	0.4727464939
787	0.472740366
788	0.472714104
789	0.4726877834
790	0.4726799112
791	0.4726677757
792	0.4726466226
793	0.4726192595
794	0.4725962619
795	0.472581805
796	0.4725537003
797	0.4725345711
798	0.4725257686
799	0.4725143076
800	0.4725040039
801	0.4724798704
802	0.4724713976
803	0.4724592306
804	0.4724501595
805	0.4724306772
806	0.4724292104
807	0.4724055395
808	0.4724053129
809	0.4723958067
810	0.4723762304
811	0.4723761822
812	0.4723757169
813	0.4723677374
814	0.4723591712
815	0.4723437343
816	0.4723302029
817	0.472301113
818	0.4722822701
819	0.4722700162
820	0.4722482057
821	0.4722428383
822	0.4722261564
823	0.4722184267
824	0.4722045042
825	0.4721866024
826	0.4721583262
827	0.4721340295
828	0.4721338529
829	0.472121123
830	0.4721047112
831	0.4720779549
832	0.4720554034
833	0.4720402846
834	0.472025658
835	0.4720051046
836	0.4719847495
837	0.4719668653
838	0.4719603852
839	0.471942012
840	0.4719237016
841	0.4719031053
842	0.4718888992
843	0.4718668039
844	0.4718478926
845	0.4718261521
846	0.4718168314
847	0.4718096092
848	0.4717937528
849	0.4717725566
850	0.4717570779
851	0.4717396309
852	0.4717179977
853	0.4717132156
854	0.4717020752
855	0.4716853615
856	0.4716676721
857	0.4716517455
858	0.4716329261
859	0.4716207649
860	0.4716034364
861	0.4715922069
862	0.4715793092
863	0.4715627736
864	0.471547774
865	0.4715388322
866	0.4715375941
867	0.4715129708
868	0.4715128884
869	0.4714940546
870	0.4714735302
871	0.471473476
872	0.471466157
873	0.4714564047
874	0.4714398158
875	0.4714185229
876	0.4714183944
877	0.4714183803
878	0.4714113387
879	0.4713920342
880	0.4713830887
881	0.4713831047
882	0.4713650402
883	0.4713408125
884	0.4713148532
885	0.4712843466
886	0.4712746926
887	0.4712672175
888	0.4712562439
889	0.4712560592
890	0.4712558166
891	0.4712409823
892	0.4712302875
893	0.4712178545
894	0.471201957
895	0.4711858838
896	0.4711789701
897	0.4711621425
898	0.47114227
899	0.4711292765
900	0.4711292863
901	0.4711240652
902	0.4711037626
903	0.4710951863
904	0.4710842492
905	0.4710704883
906	0.471051547
907	0.4710286971
908	0.4710251879
909	0.4710110345
910	0.4709978002
911	0.4709844321
912	0.4709710739
913	0.470944323
914	0.4709380718
915	0.4709274706
916	0.4709205751
917	0.4709104834
918	0.4709023481
919	0.4708734561
920	0.4708643043
921	0.470850963
922	0.4708352675
923	0.4708176083
924	0.4708011065
925	0.4707913041
926	0.4707719093
927	0.4707578594
928	0.4707475428
929	0.4707282373
930	0.4707254363
931	0.470715966
932	0.4706945448
933	0.4706627048
934	0.4706462554
935	0.47063037
936	0.4706177317
937	0.4705947964
938	0.4705872385
939	0.4705756885
940	0.470556392
941	0.4705345599
942	0.4705145325
943	0.4704883765
944	0.4704821674
945	0.4704692179
946	0.4704583726
947	0.4704455939
948	0.4704135765
949	0.4704042617
950	0.4703947403
951	0.470382889
952	0.4703608063
953	0.4703499356
954	0.4703450438
955	0.4703364376
956	0.4703363052
957	0.4703111087
958	0.4702970565
959	0.4702847229
960	0.4702792984
961	0.4702762173
962	0.4702508014
963	0.4702323367
964	0.4702184915
965	0.4702035044
966	0.4701831185
967	0.4701756407
968	0.4701538713
969	0.4701355154
970	0.470120046
971	0.4701068488
972	0.4700907508
973	0.4700663988
974	0.4700481624
975	0.4700409238
976	0.4700336429
977	0.470026208
978	0.470011305
979	0.47001031
980	0.4700022006
981	0.4700011115
982	0.4700004566
983	0.4700004223
984	0.4699933088
985	0.4699820556
986	0.4699714985
987	0.4699601449
988	0.4699498132
989	0.4699328132
990	0.4699198697
991	0.4699180565
992	0.4699180163
993	0.469911562
994	0.4698984977
995	0.469886451
996	0.4698731554
997	0.4698620786
998	0.4698621107
999	0.4698572155
